year_month,count,date,twitter_data,office_type
2019-05,16957,2019-05-01,Combined Accounts,House
2019-06,23486,2019-06-01,Combined Accounts,House
2019-07,19817,2019-07-01,Combined Accounts,House
2019-08,15263,2019-08-01,Combined Accounts,House
2019-09,24280,2019-09-01,Combined Accounts,House
2019-10,30053,2019-10-01,Combined Accounts,House
2019-11,31651,2019-11-01,Combined Accounts,House
2019-12,19930,2019-12-01,Combined Accounts,House
2020-01,27524,2020-01-01,Combined Accounts,House
2020-02,29563,2020-02-01,Combined Accounts,House
2020-03,49965,2020-03-01,Combined Accounts,House
2020-04,34650,2020-04-01,Combined Accounts,House
2020-05,26538,2020-05-01,Combined Accounts,House
2020-06,21870,2020-06-01,Combined Accounts,House
2020-07,22629,2020-07-01,Combined Accounts,House
2020-08,24246,2020-08-01,Combined Accounts,House
2020-09,25368,2020-09-01,Combined Accounts,House
2020-10,28874,2020-10-01,Combined Accounts,House
2020-11,18317,2020-11-01,Combined Accounts,House
2008-12,77,2008-12-01,All Accounts,House
2009-01,145,2009-01-01,All Accounts,House
2009-02,426,2009-02-01,All Accounts,House
2009-03,584,2009-03-01,All Accounts,House
2009-04,565,2009-04-01,All Accounts,House
2009-05,488,2009-05-01,All Accounts,House
2009-06,715,2009-06-01,All Accounts,House
2009-07,929,2009-07-01,All Accounts,House
2009-08,601,2009-08-01,All Accounts,House
2009-09,995,2009-09-01,All Accounts,House
2009-10,994,2009-10-01,All Accounts,House
2009-11,1009,2009-11-01,All Accounts,House
2009-12,682,2009-12-01,All Accounts,House
2010-01,1198,2010-01-01,All Accounts,House
2010-02,1166,2010-02-01,All Accounts,House
2010-03,2065,2010-03-01,All Accounts,House
2010-04,1566,2010-04-01,All Accounts,House
2010-05,1503,2010-05-01,All Accounts,House
2010-06,1946,2010-06-01,All Accounts,House
2010-07,1762,2010-07-01,All Accounts,House
2010-08,1732,2010-08-01,All Accounts,House
2010-09,2003,2010-09-01,All Accounts,House
2010-10,2207,2010-10-01,All Accounts,House
2010-11,1040,2010-11-01,All Accounts,House
2010-12,832,2010-12-01,All Accounts,House
2011-01,1657,2011-01-01,All Accounts,House
2011-02,1643,2011-02-01,All Accounts,House
2011-03,2422,2011-03-01,All Accounts,House
2011-04,2023,2011-04-01,All Accounts,House
2011-05,2748,2011-05-01,All Accounts,House
2011-06,2578,2011-06-01,All Accounts,House
2011-07,2898,2011-07-01,All Accounts,House
2011-08,2023,2011-08-01,All Accounts,House
2011-09,2813,2011-09-01,All Accounts,House
2011-10,3451,2011-10-01,All Accounts,House
2011-11,2938,2011-11-01,All Accounts,House
2011-12,2573,2011-12-01,All Accounts,House
2012-01,3476,2012-01-01,All Accounts,House
2012-02,4269,2012-02-01,All Accounts,House
2012-03,4502,2012-03-01,All Accounts,House
2012-04,4605,2012-04-01,All Accounts,House
2012-05,4999,2012-05-01,All Accounts,House
2012-06,5487,2012-06-01,All Accounts,House
2012-07,5227,2012-07-01,All Accounts,House
2012-08,4563,2012-08-01,All Accounts,House
2012-09,5330,2012-09-01,All Accounts,House
2012-10,6628,2012-10-01,All Accounts,House
2012-11,4461,2012-11-01,All Accounts,House
2012-12,2648,2012-12-01,All Accounts,House
2013-01,5077,2013-01-01,All Accounts,House
2013-02,6099,2013-02-01,All Accounts,House
2013-03,6817,2013-03-01,All Accounts,House
2013-04,7815,2013-04-01,All Accounts,House
2013-05,10321,2013-05-01,All Accounts,House
2013-06,10521,2013-06-01,All Accounts,House
2013-07,10926,2013-07-01,All Accounts,House
2013-08,8233,2013-08-01,All Accounts,House
2013-09,10585,2013-09-01,All Accounts,House
2013-10,11591,2013-10-01,All Accounts,House
2013-11,9289,2013-11-01,All Accounts,House
2013-12,7671,2013-12-01,All Accounts,House
2014-01,11651,2014-01-01,All Accounts,House
2014-02,10352,2014-02-01,All Accounts,House
