year_month,total_tweets,date,twitter_data,office_type
2008-09,11,2008-09-01,all,senate
2008-10,4,2008-10-01,all,senate
2008-11,4,2008-11-01,all,senate
2008-12,10,2008-12-01,all,senate
2009-01,22,2009-01-01,all,senate
2009-02,42,2009-02-01,all,senate
2009-03,64,2009-03-01,all,senate
2009-04,177,2009-04-01,all,senate
2009-05,99,2009-05-01,all,senate
2009-06,63,2009-06-01,all,senate
2009-07,68,2009-07-01,all,senate
2009-08,55,2009-08-01,all,senate
2009-09,60,2009-09-01,all,senate
2009-10,160,2009-10-01,all,senate
2009-11,149,2009-11-01,all,senate
2009-12,107,2009-12-01,all,senate
2010-01,151,2010-01-01,all,senate
2010-02,212,2010-02-01,all,senate
2010-03,224,2010-03-01,all,senate
2010-04,162,2010-04-01,all,senate
2010-05,174,2010-05-01,all,senate
2010-06,237,2010-06-01,all,senate
2010-07,318,2010-07-01,all,senate
2010-08,292,2010-08-01,all,senate
2010-09,164,2010-09-01,all,senate
2010-10,275,2010-10-01,all,senate
2010-11,172,2010-11-01,all,senate
2010-12,92,2010-12-01,all,senate
2011-01,219,2011-01-01,all,senate
2011-02,213,2011-02-01,all,senate
2011-03,312,2011-03-01,all,senate
2011-04,366,2011-04-01,all,senate
2011-05,312,2011-05-01,all,senate
2011-06,216,2011-06-01,all,senate
2011-07,345,2011-07-01,all,senate
2011-08,367,2011-08-01,all,senate
2011-09,360,2011-09-01,all,senate
2011-10,462,2011-10-01,all,senate
2011-11,549,2011-11-01,all,senate
2011-12,557,2011-12-01,all,senate
2012-01,751,2012-01-01,all,senate
2012-02,834,2012-02-01,all,senate
2012-03,927,2012-03-01,all,senate
2012-04,939,2012-04-01,all,senate
2012-05,1478,2012-05-01,all,senate
2012-06,1447,2012-06-01,all,senate
2012-07,1515,2012-07-01,all,senate
2012-08,1552,2012-08-01,all,senate
2012-09,1573,2012-09-01,all,senate
2012-10,3338,2012-10-01,all,senate
2012-11,1611,2012-11-01,all,senate
2008-12,4,2008-12-01,all,senate
2009-01,24,2009-01-01,all,senate
2009-02,39,2009-02-01,all,senate
2009-03,73,2009-03-01,all,senate
2009-04,172,2009-04-01,all,senate
2009-05,105,2009-05-01,all,senate
2009-06,97,2009-06-01,all,senate
2009-07,87,2009-07-01,all,senate
2009-08,70,2009-08-01,all,senate
2009-09,47,2009-09-01,all,senate
2009-10,98,2009-10-01,all,senate
2009-11,142,2009-11-01,all,senate
2009-12,79,2009-12-01,all,senate
2010-01,139,2010-01-01,all,senate
2010-02,170,2010-02-01,all,senate
2010-03,213,2010-03-01,all,senate
2010-04,141,2010-04-01,all,senate
2010-05,136,2010-05-01,all,senate
2010-06,197,2010-06-01,all,senate
2010-07,292,2010-07-01,all,senate
2010-08,248,2010-08-01,all,senate
2010-09,144,2010-09-01,all,senate
2010-10,195,2010-10-01,all,senate
2010-11,152,2010-11-01,all,senate
2010-12,107,2010-12-01,all,senate
2011-01,170,2011-01-01,all,senate
2011-02,192,2011-02-01,all,senate
2011-03,258,2011-03-01,all,senate
2011-04,230,2011-04-01,all,senate
