year_month,count,date,twitter_data,office_type
2011-01,89,2011-01-01,Combined Accounts,House
2011-02,89,2011-02-01,Combined Accounts,House
2011-03,98,2011-03-01,Combined Accounts,House
2011-04,103,2011-04-01,Combined Accounts,House
2011-05,108,2011-05-01,Combined Accounts,House
2011-06,110,2011-06-01,Combined Accounts,House
2011-07,109,2011-07-01,Combined Accounts,House
2011-08,112,2011-08-01,Combined Accounts,House
2011-09,118,2011-09-01,Combined Accounts,House
2011-10,125,2011-10-01,Combined Accounts,House
2011-11,136,2011-11-01,Combined Accounts,House
2011-12,136,2011-12-01,Combined Accounts,House
2012-01,140,2012-01-01,Combined Accounts,House
2012-02,143,2012-02-01,Combined Accounts,House
2012-03,149,2012-03-01,Combined Accounts,House
2012-04,154,2012-04-01,Combined Accounts,House
2012-05,158,2012-05-01,Combined Accounts,House
2012-06,166,2012-06-01,Combined Accounts,House
2012-07,163,2012-07-01,Combined Accounts,House
2012-08,168,2012-08-01,Combined Accounts,House
2012-09,173,2012-09-01,Combined Accounts,House
2012-10,172,2012-10-01,Combined Accounts,House
2012-11,177,2012-11-01,Combined Accounts,House
2012-12,164,2012-12-01,Combined Accounts,House
2013-01,189,2013-01-01,Combined Accounts,House
2013-02,189,2013-02-01,Combined Accounts,House
2013-03,205,2013-03-01,Combined Accounts,House
2013-04,205,2013-04-01,Combined Accounts,House
2013-05,210,2013-05-01,Combined Accounts,House
2013-06,221,2013-06-01,Combined Accounts,House
2013-07,226,2013-07-01,Combined Accounts,House
2013-08,228,2013-08-01,Combined Accounts,House
2013-09,238,2013-09-01,Combined Accounts,House
2013-10,236,2013-10-01,Combined Accounts,House
2013-11,243,2013-11-01,Combined Accounts,House
2013-12,238,2013-12-01,Combined Accounts,House
2014-01,243,2014-01-01,Combined Accounts,House
2014-02,240,2014-02-01,Combined Accounts,House
2014-03,248,2014-03-01,Combined Accounts,House
2014-04,251,2014-04-01,Combined Accounts,House
2014-05,251,2014-05-01,Combined Accounts,House
2014-06,256,2014-06-01,Combined Accounts,House
2014-07,258,2014-07-01,Combined Accounts,House
2014-08,250,2014-08-01,Combined Accounts,House
2014-09,261,2014-09-01,Combined Accounts,House
