year_month,total_accounts,date,twitter_data,office_type
2011-05,13,2011-05-01,all,senate
2011-06,13,2011-06-01,all,senate
2011-07,14,2011-07-01,all,senate
2011-08,12,2011-08-01,all,senate
2011-09,18,2011-09-01,all,senate
2011-10,17,2011-10-01,all,senate
2011-11,18,2011-11-01,all,senate
2011-12,18,2011-12-01,all,senate
2012-01,18,2012-01-01,all,senate
2012-02,21,2012-02-01,all,senate
2012-03,21,2012-03-01,all,senate
2012-04,21,2012-04-01,all,senate
2012-05,23,2012-05-01,all,senate
2012-06,22,2012-06-01,all,senate
2012-07,23,2012-07-01,all,senate
2012-08,24,2012-08-01,all,senate
2012-09,24,2012-09-01,all,senate
2012-10,26,2012-10-01,all,senate
2012-11,28,2012-11-01,all,senate
2012-12,26,2012-12-01,all,senate
2013-01,27,2013-01-01,all,senate
2013-02,30,2013-02-01,all,senate
2013-03,34,2013-03-01,all,senate
2013-04,37,2013-04-01,all,senate
2013-05,38,2013-05-01,all,senate
2013-06,37,2013-06-01,all,senate
2013-07,38,2013-07-01,all,senate
2013-08,39,2013-08-01,all,senate
2013-09,40,2013-09-01,all,senate
2013-10,41,2013-10-01,all,senate
2013-11,43,2013-11-01,all,senate
2013-12,39,2013-12-01,all,senate
2014-01,44,2014-01-01,all,senate
2014-02,45,2014-02-01,all,senate
2014-03,47,2014-03-01,all,senate
2014-04,46,2014-04-01,all,senate
2014-05,47,2014-05-01,all,senate
2014-06,46,2014-06-01,all,senate
2014-07,46,2014-07-01,all,senate
2014-08,44,2014-08-01,all,senate
2014-09,47,2014-09-01,all,senate
2014-10,46,2014-10-01,all,senate
2014-11,47,2014-11-01,all,senate
2010-12,11,2010-12-01,all,senate
2011-01,13,2011-01-01,all,senate
2011-02,12,2011-02-01,all,senate
2011-03,12,2011-03-01,all,senate
2011-04,13,2011-04-01,all,senate
2011-05,15,2011-05-01,all,senate
2011-06,14,2011-06-01,all,senate
2011-07,13,2011-07-01,all,senate
2011-08,11,2011-08-01,all,senate
2011-09,17,2011-09-01,all,senate
2011-10,14,2011-10-01,all,senate
2011-11,18,2011-11-01,all,senate
2011-12,18,2011-12-01,all,senate
2012-01,19,2012-01-01,all,senate
2012-02,19,2012-02-01,all,senate
2012-03,19,2012-03-01,all,senate
2012-04,20,2012-04-01,all,senate
2012-05,21,2012-05-01,all,senate
2012-06,20,2012-06-01,all,senate
2012-07,21,2012-07-01,all,senate
2012-08,21,2012-08-01,all,senate
2012-09,25,2012-09-01,all,senate
2012-10,28,2012-10-01,all,senate
2012-11,24,2012-11-01,all,senate
2012-12,24,2012-12-01,all,senate
2013-01,26,2013-01-01,all,senate
2013-02,26,2013-02-01,all,senate
2013-03,28,2013-03-01,all,senate
2013-04,28,2013-04-01,all,senate
2013-05,29,2013-05-01,all,senate
2013-06,30,2013-06-01,all,senate
2013-07,28,2013-07-01,all,senate
2013-08,30,2013-08-01,all,senate
2013-09,29,2013-09-01,all,senate
2013-10,29,2013-10-01,all,senate
2013-11,33,2013-11-01,all,senate
2013-12,29,2013-12-01,all,senate
2014-01,33,2014-01-01,all,senate
2014-02,33,2014-02-01,all,senate
2014-03,34,2014-03-01,all,senate
2014-04,31,2014-04-01,all,senate
2014-05,32,2014-05-01,all,senate
2014-06,33,2014-06-01,all,senate
2014-07,34,2014-07-01,all,senate
2014-08,36,2014-08-01,all,senate
2014-09,38,2014-09-01,all,senate
2014-10,37,2014-10-01,all,senate
2014-11,35,2014-11-01,all,senate
2014-12,34,2014-12-01,all,senate
2015-01,36,2015-01-01,all,senate
2015-02,36,2015-02-01,all,senate
2015-03,39,2015-03-01,all,senate
2015-04,47,2015-04-01,all,senate
2015-05,43,2015-05-01,all,senate
2015-06,49,2015-06-01,all,senate
2015-07,50,2015-07-01,all,senate
2015-08,46,2015-08-01,all,senate
2015-09,51,2015-09-01,all,senate
2015-10,51,2015-10-01,all,senate
2015-11,55,2015-11-01,all,senate
2015-12,56,2015-12-01,all,senate
2016-01,59,2016-01-01,all,senate
2016-02,57,2016-02-01,all,senate
2016-03,58,2016-03-01,all,senate
2016-04,58,2016-04-01,all,senate
2016-05,61,2016-05-01,all,senate
2016-06,61,2016-06-01,all,senate
2016-07,61,2016-07-01,all,senate
2016-08,62,2016-08-01,all,senate
2016-09,62,2016-09-01,all,senate
2016-10,62,2016-10-01,all,senate
2016-11,63,2016-11-01,all,senate
2012-12,22,2012-12-01,all,senate
2013-01,24,2013-01-01,all,senate
2013-02,26,2013-02-01,all,senate
2013-03,28,2013-03-01,all,senate
2013-04,24,2013-04-01,all,senate
2013-05,26,2013-05-01,all,senate
2013-06,25,2013-06-01,all,senate
2013-07,26,2013-07-01,all,senate
2013-08,26,2013-08-01,all,senate
2013-09,23,2013-09-01,all,senate
2013-10,27,2013-10-01,all,senate
2013-11,28,2013-11-01,all,senate
2013-12,29,2013-12-01,all,senate
2014-01,31,2014-01-01,all,senate
2014-02,34,2014-02-01,all,senate
2014-03,34,2014-03-01,all,senate
2014-04,31,2014-04-01,all,senate
2014-05,33,2014-05-01,all,senate
2014-06,33,2014-06-01,all,senate
2014-07,32,2014-07-01,all,senate
2014-08,35,2014-08-01,all,senate
2014-09,36,2014-09-01,all,senate
2014-10,38,2014-10-01,all,senate
2014-11,37,2014-11-01,all,senate
2014-12,33,2014-12-01,all,senate
2015-01,36,2015-01-01,all,senate
2015-02,35,2015-02-01,all,senate
2015-03,38,2015-03-01,all,senate
2015-04,39,2015-04-01,all,senate
2015-05,39,2015-05-01,all,senate
2015-06,40,2015-06-01,all,senate
2015-07,43,2015-07-01,all,senate
2015-08,39,2015-08-01,all,senate
2015-09,42,2015-09-01,all,senate
2015-10,41,2015-10-01,all,senate
2015-11,43,2015-11-01,all,senate
2015-12,43,2015-12-01,all,senate
2016-01,43,2016-01-01,all,senate
2016-02,47,2016-02-01,all,senate
2016-03,47,2016-03-01,all,senate
2016-04,46,2016-04-01,all,senate
2016-05,47,2016-05-01,all,senate
2016-06,48,2016-06-01,all,senate
2016-07,50,2016-07-01,all,senate
2016-08,48,2016-08-01,all,senate
2016-09,49,2016-09-01,all,senate
2016-10,51,2016-10-01,all,senate
2016-11,52,2016-11-01,all,senate
2016-12,45,2016-12-01,all,senate
2017-01,47,2017-01-01,all,senate
2017-02,50,2017-02-01,all,senate
2017-03,49,2017-03-01,all,senate
2017-04,50,2017-04-01,all,senate
2017-05,49,2017-05-01,all,senate
2017-06,52,2017-06-01,all,senate
2017-07,52,2017-07-01,all,senate
2017-08,52,2017-08-01,all,senate
2017-09,55,2017-09-01,all,senate
2017-10,56,2017-10-01,all,senate
2017-11,58,2017-11-01,all,senate
2017-12,57,2017-12-01,all,senate
2018-01,62,2018-01-01,all,senate
2018-02,63,2018-02-01,all,senate
2018-03,64,2018-03-01,all,senate
2018-04,65,2018-04-01,all,senate
2018-05,66,2018-05-01,all,senate
2018-06,67,2018-06-01,all,senate
2018-07,68,2018-07-01,all,senate
2018-08,67,2018-08-01,all,senate
2018-09,67,2018-09-01,all,senate
2018-10,68,2018-10-01,all,senate
2018-11,68,2018-11-01,all,senate
2014-12,32,2014-12-01,all,senate
2015-01,38,2015-01-01,all,senate
2015-02,34,2015-02-01,all,senate
2015-03,36,2015-03-01,all,senate
2015-04,35,2015-04-01,all,senate
2015-05,35,2015-05-01,all,senate
2015-06,37,2015-06-01,all,senate
2015-07,38,2015-07-01,all,senate
2015-08,37,2015-08-01,all,senate
2015-09,34,2015-09-01,all,senate
2015-10,39,2015-10-01,all,senate
2015-11,43,2015-11-01,all,senate
2015-12,39,2015-12-01,all,senate
2016-01,41,2016-01-01,all,senate
2016-02,43,2016-02-01,all,senate
2016-03,41,2016-03-01,all,senate
2016-04,40,2016-04-01,all,senate
2016-05,43,2016-05-01,all,senate
2016-06,41,2016-06-01,all,senate
2016-07,41,2016-07-01,all,senate
2016-08,41,2016-08-01,all,senate
2016-09,44,2016-09-01,all,senate
2016-10,43,2016-10-01,all,senate
2016-11,45,2016-11-01,all,senate
2016-12,38,2016-12-01,all,senate
2017-01,39,2017-01-01,all,senate
2017-02,42,2017-02-01,all,senate
2017-03,40,2017-03-01,all,senate
2017-04,39,2017-04-01,all,senate
2017-05,41,2017-05-01,all,senate
2017-06,42,2017-06-01,all,senate
2017-07,44,2017-07-01,all,senate
2017-08,47,2017-08-01,all,senate
2017-09,46,2017-09-01,all,senate
2017-10,47,2017-10-01,all,senate
2017-11,48,2017-11-01,all,senate
2017-12,45,2017-12-01,all,senate
2018-01,46,2018-01-01,all,senate
2018-02,46,2018-02-01,all,senate
2018-03,46,2018-03-01,all,senate
2018-04,49,2018-04-01,all,senate
2018-05,50,2018-05-01,all,senate
2018-06,48,2018-06-01,all,senate
2018-07,50,2018-07-01,all,senate
2018-08,50,2018-08-01,all,senate
2018-09,52,2018-09-01,all,senate
2018-10,51,2018-10-01,all,senate
2018-11,52,2018-11-01,all,senate
2018-12,49,2018-12-01,all,senate
2019-01,48,2019-01-01,all,senate
2019-02,49,2019-02-01,all,senate
2019-03,48,2019-03-01,all,senate
