year_month,total_accounts,date,twitter_data,office_type
2012-01,224,2012-01-01,all,house
2012-02,230,2012-02-01,all,house
2012-03,243,2012-03-01,all,house
2012-04,252,2012-04-01,all,house
2012-05,266,2012-05-01,all,house
2012-06,279,2012-06-01,all,house
2012-07,278,2012-07-01,all,house
2012-08,286,2012-08-01,all,house
2012-09,288,2012-09-01,all,house
2012-10,294,2012-10-01,all,house
2012-11,298,2012-11-01,all,house
2012-12,252,2012-12-01,all,house
2013-01,296,2013-01-01,all,house
2013-02,305,2013-02-01,all,house
2013-03,318,2013-03-01,all,house
2013-04,330,2013-04-01,all,house
2013-05,333,2013-05-01,all,house
2013-06,345,2013-06-01,all,house
2013-07,363,2013-07-01,all,house
2013-08,362,2013-08-01,all,house
2013-09,379,2013-09-01,all,house
2013-10,374,2013-10-01,all,house
2013-11,398,2013-11-01,all,house
2013-12,381,2013-12-01,all,house
2014-01,405,2014-01-01,all,house
2014-02,418,2014-02-01,all,house
2014-03,426,2014-03-01,all,house
2014-04,438,2014-04-01,all,house
2014-05,438,2014-05-01,all,house
2014-06,436,2014-06-01,all,house
2014-07,446,2014-07-01,all,house
2014-08,435,2014-08-01,all,house
2014-09,458,2014-09-01,all,house
2014-10,467,2014-10-01,all,house
2014-11,468,2014-11-01,all,house
2014-12,408,2014-12-01,all,house
2015-01,468,2015-01-01,all,house
2015-02,455,2015-02-01,all,house
2015-03,478,2015-03-01,all,house
2015-04,480,2015-04-01,all,house
2015-05,485,2015-05-01,all,house
2015-06,492,2015-06-01,all,house
2015-07,495,2015-07-01,all,house
2015-08,494,2015-08-01,all,house
2015-09,514,2015-09-01,all,house
2015-10,513,2015-10-01,all,house
2015-11,510,2015-11-01,all,house
2015-12,516,2015-12-01,all,house
2016-01,536,2016-01-01,all,house
2016-02,554,2016-02-01,all,house
2016-03,551,2016-03-01,all,house
2016-04,544,2016-04-01,all,house
2016-05,555,2016-05-01,all,house
2016-06,558,2016-06-01,all,house
2016-07,579,2016-07-01,all,house
2016-08,577,2016-08-01,all,house
2016-09,579,2016-09-01,all,house
2016-10,585,2016-10-01,all,house
2016-11,586,2016-11-01,all,house
2016-12,536,2016-12-01,all,house
2017-01,582,2017-01-01,all,house
2017-02,585,2017-02-01,all,house
2017-03,582,2017-03-01,all,house
